username,full_name,relationship,icp_aligned,action
bearlinman,Bearlinman,Mutual,Yes,Keep
fradetantonio,Antonio Fradet,Mutual,No,Keep
img_donosti,IMANOL,Mutual,No,Keep
manuland.84,Manu Moreno,Mutual,No,Keep
roberroncero,Rober Roncero,Mutual,No,Keep
rubenchuschef,Ruben Morcab,Mutual,No,Keep
whoisstefane,Stéphane,Mutual,No,Keep
000frthjv,Fredito Tela Chupo,Fan,No,Monitor
0213amor,Alejandro Morales,Fan,No,Monitor
25grabiel,Grabiel25,Fan,No,Monitor
_nikdid_,Nicholas,Fan,No,Monitor
aaronschelmety,Aaron Schelmety,Fan,No,Monitor
adelio.jorge.carvalho,Jorge Carvalho,Fan,No,Monitor
adie_atelier,adie,Fan,No,Monitor
agendaqplusmadrid,AgendaQPlusMadrid,Fan,No,Monitor
albearpe,A A,Fan,Yes,Follow Back
alberto.riquelme.14268,Alberto Riquelme,Fan,No,Monitor
alex01970,Javier Alejandro Rosales,Fan,No,Monitor
alexnav29,Alex Naveda,Fan,No,Monitor
alfonsobg1984,F.,Fan,No,Monitor
alfredppr,Alfredo Perez,Fan,No,Monitor
allen_arg,Allen,Fan,No,Monitor
allyssonbrum,Allysson,Fan,No,Monitor
alon_arrieta,Alonso Arrieta Ávila,Fan,No,Monitor
andreabearstyle,Andrea Bearstyle,Fan,Yes,Follow Back
andremrslopes,André Lopes,Fan,No,Monitor
andresdortega,Andrés Ortega Medina,Fan,No,Monitor
andressenra,Andrés Senra,Fan,No,Monitor
andrestalh,André Stahl,Fan,No,Monitor
angelbelfegor,Angel Villamizar,Fan,No,Monitor
angeliquelavignolle,Angélique Lavignolle,Fan,No,Monitor
antonio_madafaker_orozco,Antonio Martinez Orozco,Fan,No,Monitor
areismarcos,Antonio Marcos,Fan,No,Monitor
arjan_kroner,Arjan Kroner,Fan,No,Monitor
arryster1,Arry,Fan,No,Monitor
athoswhitewolf,Athos,Fan,No,Monitor
augusto_cezar_filho,Augusto Cézar Filho        Nível 52,Fan,No,Monitor
baloobarlounge,JAVIER GUTIERREZ,Fan,No,Monitor
bar_canecadeprata,🍸 bar caneca de prata Av Vieira de Carvalho 55,Fan,No,Monitor
bartys70,Phil Simpson,Fan,No,Monitor
bearsato76,Bearsato76,Fan,Yes,Follow Back
bearsleook,LeonBearsok,Fan,Yes,Follow Back
beextraknitting,Be Extra,Fan,No,Monitor
beltran_h,Beltran,Fan,No,Monitor
benseamanfineart,Ben Seaman,Fan,No,Monitor
beto_grilo,Beto Dias,Fan,No,Monitor
biel_sanc,Biel San,Fan,No,Monitor
biralj,Bira LJ,Fan,No,Monitor
blacky_simba,Blacky Simba🏳️‍🌈🐶,Fan,No,Monitor
bobeortega,Beyker Ortega,Fan,No,Monitor
borjalin,borjalin,Fan,No,Monitor
bowdownlow,Kolbe Bowring,Fan,No,Monitor
boxermadridshop,Boxer Madrid Shop,Fan,No,Monitor
brioubre,Monsier Monsier 🧿🪬,Fan,No,Monitor
brutus_oso,Brutus Oso,Fan,No,Monitor
bulkyman2,Christian Lu,Fan,No,Monitor
bzooooo,Stef Pioupiou,Fan,No,Monitor
bzs1969,Brad,Fan,No,Monitor
calitrog,Carlos Guevara Martínez,Fan,No,Monitor
caralvn,Carlos,Fan,No,Monitor
carloscvlo,Carlos Cavalheiro,Fan,No,Monitor
casahomo,Just some guy,Fan,No,Monitor
cgsparkly,Christopher Geraci,Fan,No,Monitor
charlie.aga,Charlie Agathocleous,Fan,No,Monitor
chuckinparis,Charles Vila,Fan,No,Monitor
chuecadiversa,Chueca Diversa,Fan,No,Monitor
clingestein,Wulf Clingestein,Fan,No,Monitor
cmata.25,Carlos Matamoros,Fan,No,Monitor
confuses.salsarolerotation,Salsa en Rueda Cubana Rolerotation,Fan,Yes,Follow Back
cpuready,Chris Pratt,Fan,No,Monitor
cristo_fdez72,Cristo  Fdez,Fan,No,Monitor
